province,city,new_customer_count,orders,order_value,major_city,
Virginia,MANASSAS,2,8,1326.59,,
Kansas,Manhattan,5,8,1324.1,,
North Carolina,Mint Hill,3,8,1322.27,,
Pennsylvania,Broomall,4,8,1305.64,,
Pennsylvania,Willow Street,2,8,1300.36,,
California,Playa Del Rey,7,8,1290.11,LA,
Georgia,Warner Robins,1,8,1287.8,,
Wisconsin,Verona,5,8,1283.8,,
Michigan,Waterford Township,2,8,1256.92,,
Vermont,Shelburne,7,8,1254.68,,
Massachusetts,Westford,4,8,1244.59,,
Texas,Carrollton,4,8,1237.44,,
Wisconsin,Hudson,6,8,1197.6,,
California,Tracy,4,8,1190.14,SF,
California,Valley village,2,8,1186.87,LA,
Texas,Laredo,4,8,1180.14,,
Texas,Rowlett,3,8,1174.05,,
North Carolina,ASHEVILLE,3,8,1146.26,,
Maryland,Hyattsville,7,8,1143.1,,
Pennsylvania,Malvern,5,8,1132.38,,
California,Rancho Santa Fe,6,8,1121.44,,
New York,Skaneateles,3,8,1118.58,,
North Carolina,Boone,5,8,1108.9,,
Tennessee,Thompson's Station,2,8,1103.27,,
Maryland,Columbia,7,8,1102.45,,
North Carolina,Hendersonville,6,8,1100.74,,
California,Loma Linda,6,8,1096.85,LA,
California,Taft,2,8,1076.54,,
California,Hollister,2,8,1070.37,SF,
Hawaii,Pahoa,2,8,1056.91,,
New York,Fairport,6,8,1054.86,,
Virginia,Woodbridge,5,8,1042.78,,
New Jersey,Brick,5,8,1042.76,NYC,
New York,Huntington,5,8,1041,NYC,
New York,Northport,4,8,1040.42,NYC,
New Hampshire,Manchester,6,8,1036.93,,
Washington,Pasco,2,8,1034.4,,
California,Turlock,5,8,1019.46,,
Minnesota,Excelsior,6,8,1015.87,,
Alabama,Mobile,7,8,1014.06,,
Connecticut,Southbury,3,8,1010.43,,
Florida,Sanford,6,8,1008.61,,
Hawaii,Ewa Beach,8,8,1008.18,,
Texas,Garland,4,8,986.55,,
Illinois,Rockford,6,8,984.9,CHI,
Florida,Oviedo,5,8,982.91,,
Massachusetts,Monterey,2,8,980.84,,
Michigan,Kalamazoo,6,8,979.65,,
Washington,Yakima,5,8,978.22,,
Pennsylvania,Erie,4,8,971.68,,
Pennsylvania,Paoli,3,8,960.78,,
Pennsylvania,Harrisburg,5,8,953.05,,
California,encinitas,5,8,950.21,LA,
Ohio,West Chester,6,8,950.17,,
